Invoice ID,Date,City,Branch,Customer Type,Gender,Product Line,Unit Price,Quantity,Payment,Rating,Total,Tax
INV-0001,2023-01-01,Bangalore,A,Normal,Female,Home and lifestyle,47.53,8,Cash,9.8,380.24,19.01
INV-0002,2023-01-02,Delhi,B,Member,Female,Sports and travel,74.83,7,Cash,8.2,523.81,26.19
INV-0003,2023-01-03,Bangalore,C,Normal,Female,Sports and travel,10.01,8,Credit card,8.6,80.08,4.0
INV-0004,2023-01-04,Delhi,A,Normal,Female,Sports and travel,37.21,4,Credit card,8.1,148.84,7.44
INV-0005,2023-01-05,Delhi,A,Normal,Female,Sports and travel,23.21,1,Credit card,9.2,23.21,1.16
INV-0006,2023-01-06,Delhi,B,Member,Female,Food and beverages,18.31,4,Credit card,6.2,73.24,3.66
INV-0007,2023-01-07,Mumbai,B,Member,Female,Fashion accessories,26.76,4,Ewallet,7.2,107.04,5.35
INV-0008,2023-01-08,Mumbai,C,Member,Female,Food and beverages,41.1,4,Ewallet,7.0,164.4,8.22
INV-0009,2023-01-09,Mumbai,B,Normal,Female,Health and Beauty,45.71,2,Credit card,9.3,91.42,4.57
INV-0010,2023-01-10,Delhi,C,Normal,Female,Sports and travel,58.49,3,Ewallet,4.5,175.47,8.77
INV-0011,2023-01-11,Bangalore,A,Member,Female,Home and lifestyle,47.73,1,Cash,2.7,47.73,2.39
INV-0012,2023-01-12,Mumbai,B,Member,Female,Health and Beauty,71.67,4,Cash,1.7,286.68,14.33
INV-0013,2023-01-13,Mumbai,C,Normal,Male,Food and beverages,28.4,8,Ewallet,7.8,227.2,11.36
INV-0014,2023-01-14,Bangalore,A,Normal,Female,Food and beverages,89.03,6,Ewallet,6.1,534.18,26.71
INV-0015,2023-01-15,Bangalore,B,Member,Female,Fashion accessories,12.46,9,Credit card,9.7,112.14,5.61
INV-0016,2023-01-16,Mumbai,B,Normal,Female,Home and lifestyle,70.34,1,Cash,6.8,70.34,3.52
INV-0017,2023-01-17,Delhi,C,Normal,Male,Sports and travel,47.56,5,Ewallet,4.9,237.8,11.89
INV-0018,2023-01-18,Delhi,A,Normal,Male,Health and Beauty,60.28,2,Cash,6.2,120.56,6.03
INV-0019,2023-01-19,Bangalore,B,Normal,Male,Sports and travel,22.63,5,Ewallet,6.6,113.15,5.66
INV-0020,2023-01-20,Delhi,A,Member,Female,Fashion accessories,27.83,7,Cash,5.4,194.81,9.74
INV-0021,2023-01-21,Delhi,C,Normal,Male,Food and beverages,82.07,9,Ewallet,10.0,738.63,36.93
INV-0022,2023-01-22,Bangalore,A,Member,Male,Health and Beauty,97.14,9,Credit card,9.4,874.26,43.71
INV-0023,2023-01-23,Delhi,B,Normal,Male,Food and beverages,38.21,1,Credit card,5.6,38.21,1.91
INV-0024,2023-01-24,Delhi,A,Normal,Female,Sports and travel,72.31,1,Credit card,7.4,72.31,3.62
INV-0025,2023-01-25,Delhi,A,Normal,Female,Fashion accessories,88.88,7,Cash,3.4,622.16,31.11
INV-0026,2023-01-26,Bangalore,A,Member,Female,Sports and travel,90.51,7,Credit card,6.0,633.57,31.68
INV-0027,2023-01-27,Bangalore,C,Member,Female,Health and Beauty,17.65,9,Credit card,6.7,158.85,7.94
INV-0028,2023-01-28,Delhi,B,Normal,Male,Food and beverages,13.51,4,Credit card,5.9,54.04,2.7
INV-0029,2023-01-29,Bangalore,B,Member,Female,Health and Beauty,25.28,8,Cash,6.2,202.24,10.11
INV-0030,2023-01-30,Bangalore,A,Member,Female,Electronic accessories,89.03,2,Credit card,8.4,178.06,8.9
INV-0031,2023-01-31,Mumbai,B,Normal,Male,Electronic accessories,18.85,1,Credit card,9.2,18.85,0.94
INV-0032,2023-02-01,Bangalore,B,Member,Female,Fashion accessories,47.9,4,Cash,6.2,191.6,9.58
INV-0033,2023-02-02,Bangalore,A,Normal,Male,Fashion accessories,96.21,2,Credit card,5.3,192.42,9.62
INV-0034,2023-02-03,Mumbai,C,Member,Male,Home and lifestyle,57.98,4,Cash,7.8,231.92,11.6
INV-0035,2023-02-04,Delhi,C,Normal,Male,Electronic accessories,72.27,4,Cash,3.0,289.08,14.45
INV-0036,2023-02-05,Delhi,A,Normal,Female,Health and Beauty,38.4,3,Cash,4.0,115.2,5.76
INV-0037,2023-02-06,Delhi,C,Normal,Male,Food and beverages,71.79,7,Credit card,3.9,502.53,25.13
INV-0038,2023-02-07,Bangalore,B,Normal,Female,Electronic accessories,85.12,2,Cash,6.7,170.24,8.51
INV-0039,2023-02-08,Mumbai,A,Member,Male,Fashion accessories,11.65,8,Credit card,1.1,93.2,4.66
INV-0040,2023-02-09,Mumbai,A,Normal,Female,Sports and travel,77.51,4,Cash,10.0,310.04,15.5
INV-0041,2023-02-10,Mumbai,C,Member,Male,Sports and travel,99.0,8,Cash,6.0,792.0,39.6
INV-0042,2023-02-11,Mumbai,A,Normal,Male,Health and Beauty,77.33,1,Cash,2.6,77.33,3.87
INV-0043,2023-02-12,Mumbai,B,Member,Female,Sports and travel,35.24,4,Ewallet,2.5,140.96,7.05
INV-0044,2023-02-13,Mumbai,C,Normal,Female,Health and Beauty,81.04,4,Cash,3.1,324.16,16.21
INV-0045,2023-02-14,Mumbai,C,Member,Male,Electronic accessories,19.29,9,Ewallet,2.4,173.61,8.68
INV-0046,2023-02-15,Bangalore,C,Normal,Female,Electronic accessories,50.31,1,Ewallet,8.9,50.31,2.52
INV-0047,2023-02-16,Mumbai,B,Member,Female,Health and Beauty,91.77,6,Cash,5.7,550.62,27.53
INV-0048,2023-02-17,Mumbai,B,Member,Male,Sports and travel,36.43,4,Ewallet,3.9,145.72,7.29
INV-0049,2023-02-18,Delhi,C,Normal,Female,Home and lifestyle,35.9,5,Credit card,3.2,179.5,8.98
INV-0050,2023-02-19,Mumbai,A,Member,Female,Health and Beauty,21.7,5,Cash,5.7,108.5,5.43
INV-0051,2023-02-20,Delhi,A,Normal,Male,Fashion accessories,11.74,1,Cash,6.9,11.74,0.59
INV-0052,2023-02-21,Delhi,C,Member,Male,Fashion accessories,71.1,9,Ewallet,9.0,639.9,32.0
INV-0053,2023-02-22,Delhi,C,Normal,Male,Fashion accessories,29.05,9,Ewallet,7.9,261.45,13.07
INV-0054,2023-02-23,Mumbai,C,Member,Male,Fashion accessories,33.9,8,Cash,4.3,271.2,13.56
INV-0055,2023-02-24,Bangalore,A,Normal,Male,Health and Beauty,54.24,9,Credit card,4.2,488.16,24.41
INV-0056,2023-02-25,Delhi,C,Normal,Male,Health and Beauty,14.8,4,Credit card,4.8,59.2,2.96
INV-0057,2023-02-26,Bangalore,A,Normal,Female,Food and beverages,61.67,3,Ewallet,1.1,185.01,9.25
INV-0058,2023-02-27,Mumbai,C,Normal,Male,Fashion accessories,23.21,4,Cash,3.0,92.84,4.64
INV-0059,2023-02-28,Delhi,C,Member,Female,Fashion accessories,63.04,2,Ewallet,5.6,126.08,6.3
INV-0060,2023-03-01,Bangalore,A,Member,Male,Electronic accessories,72.98,5,Credit card,8.1,364.9,18.24
INV-0061,2023-03-02,Mumbai,C,Member,Female,Food and beverages,19.21,6,Cash,2.7,115.26,5.76
INV-0062,2023-03-03,Bangalore,A,Normal,Female,Fashion accessories,47.27,5,Credit card,5.9,236.35,11.82
INV-0063,2023-03-04,Mumbai,A,Normal,Female,Food and beverages,72.5,9,Credit card,8.2,652.5,32.62
INV-0064,2023-03-05,Delhi,C,Normal,Female,Electronic accessories,47.28,7,Credit card,3.9,330.96,16.55
INV-0065,2023-03-06,Mumbai,C,Normal,Male,Electronic accessories,14.5,6,Credit card,2.6,87.0,4.35
INV-0066,2023-03-07,Delhi,B,Member,Female,Electronic accessories,58.23,1,Credit card,5.9,58.23,2.91
INV-0067,2023-03-08,Bangalore,C,Normal,Female,Electronic accessories,69.74,9,Ewallet,7.5,627.66,31.38
INV-0068,2023-03-09,Delhi,B,Normal,Male,Food and beverages,56.34,7,Ewallet,3.3,394.38,19.72
INV-0069,2023-03-10,Mumbai,B,Normal,Female,Food and beverages,95.01,7,Ewallet,7.3,665.07,33.25
INV-0070,2023-03-11,Delhi,A,Normal,Female,Food and beverages,62.79,9,Ewallet,3.7,565.11,28.26
